question,label
How many games of second generation Resident Evil are there?,"{""answerText"": ""6"", ""category"": ""videogames"", ""complexityType"": ""count""}"
Who is oldest ever freshmen senator?,"{""answerText"": ""Mitt Romney"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
What is the first most played Ultimate Smash Bros character?,"{""answerText"": ""Cloud"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
"What state has existed longer, Delaware or Mississippi?","{""answerText"": ""Delaware"", ""category"": ""history"", ""complexityType"": ""comparative""}"
Has Nicki Minaj made a song with Shakira?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
What was Cormac McCarthy's first published novel?,"{""answerText"": ""The Orchard Keeper"", ""category"": ""books"", ""complexityType"": ""generic""}"
Who is the sister to the actress who headlined Mona Lisa Smile?,"{""answerText"": ""Emma Roberts"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
When was Roblox was launched?,"{""answerText"": ""1-Sep-06"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What actor played James Bond and was born in Scotland?,"{""answerText"": "" Sean Connery"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
When did Metallica put out their third album?,"{""answerText"": ""1986"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
"Which is the higher-grossing 2020 movie, 1917 or Bad Boys for Life?","{""answerText"": ""Bad Boys for Life"", ""category"": ""movies"", ""complexityType"": ""comparative""}"
Which battle from World War II resulted in the most casualties?,"{""answerText"": ""Battle of Stalingrad"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Which Backstreet Boy member was not in the band in 2006 but rejoined in 2012?,"{""answerText"": ""Kevin Richardson"", ""category"": ""music"", ""complexityType"": ""difference""}"
"Which prime minister had more terms in office, Gladstone or Churchill?","{""answerText"": ""Gladstone"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Did Robert Frost win a Pulitzer Prize?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Who was the first woman to become a nominee of a major party for president?,"{""answerText"": ""Hillary Clinton"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
What is the most sold Tekken game?,"{""answerText"": ""Tekken 3"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
What college did the author of Harry Potter attend?,"{""answerText"": ""University of Exeter"", ""category"": ""books"", ""complexityType"": ""multihop""}"
Who was the 32nd president of the United States?,"{""answerText"": ""Franklin Delano Roosevelt"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
How many Republican governors has New Hampshire had since 1990?,"{""answerText"": ""6"", ""category"": ""politics"", ""complexityType"": ""count""}"
Which Austrian monarch had the longest reign?,"{""answerText"": ""Franz Joseph I"", ""category"": ""history"", ""complexityType"": ""superlative""}"
How many Academy Awards has Alicia Vikander won?,"{""answerText"": ""1"", ""category"": ""movies"", ""complexityType"": ""count""}"
What is the population of the state where Disney World is located?,"{""answerText"": ""280,832"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Are there more members in the House of Representatives than in the Senate?,"{""answerText"": ""Yes"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Have Leonardo DiCaprio and Daniel Day Lewis appeared in a movie together?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
Who is the youngest actress to win an Academy Award?,"{""answerText"": ""Tatum O'Neal"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
When was the second U.S. president born?,"{""answerText"": ""October 30, 1735"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
Which member of Blackpink was not allowed to join Paris Fashion Week in 2021?,"{""answerText"": ""Lisa"", ""category"": ""music"", ""complexityType"": ""difference""}"
Which player played for the Georgia Bulldogs and was in the USFL league?,"{""answerText"": ""Herschel Walker"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
When was the Nintendo entertainment system released in America?,"{""answerText"": ""18-Oct-85"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Did Scarface come out before 1990?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""comparative""}"
How long was the youngest First Lady in office for?,"{""answerText"": ""8 years"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
How tall is the actor who played Khal Drogo in Game of Thrones?,"{""answerText"": ""6'4\"""", ""category"": ""movies"", ""complexityType"": ""multihop""}"
How many vice presidents have gone on to become US president?,"{""answerText"": ""15"", ""category"": ""politics"", ""complexityType"": ""count""}"
What is the second largest ice mass on the earth?,"{""answerText"": ""The Greenland ice sheet"", ""category"": ""geography"", ""complexityType"": ""ordinal""}"
Which Harry Potter character was a wizard and was a giant?,"{""answerText"": ""Professor Rubeus Hagrid"", ""category"": ""books"", ""complexityType"": ""intersection""}"
What was the first Call of Duty game not developed by either Treyarch or Infinity Ward?,"{""answerText"": ""Call of Duty: Advanced Warfare"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Which country contains the Nile Delta and was ruled by Khufu in 2589 ‒ 2566 BC?,"{""answerText"": ""Egypt"", ""category"": ""history"", ""complexityType"": ""intersection""}"
How many different NBA teams has Amar'e Stoudemire played for?,"{""answerText"": ""4"", ""category"": ""sports"", ""complexityType"": ""count""}"
What is the longest song on Michael Jackson's Off the Wall album?,"{""answerText"": ""Don't Stop 'Til You Get Enough"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Who is the oldest member of One Direction?,"{""answerText"": ""Louis Tomlinson"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Which Asian country won the most Olympic gold medals?,"{""answerText"": ""China"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Who was the first African American gymnast to win a gold medal?,"{""answerText"": ""Dominique Dawes"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
Did the French burn down the White House in 1814?,"{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""yesno""}"
Who was the longest-serving governor in the U.S.?,"{""answerText"": ""Terry Branstad"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
Who was the 14th president of the United States?,"{""answerText"": ""Franklin Pierce"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
In which state was the group Outkast formed in?,"{""answerText"": ""Georgia"", ""category"": ""music"", ""complexityType"": ""generic""}"
What was the Beatles' first single?,"{""answerText"": ""Love Me Do"", ""category"": ""music"", ""complexityType"": ""generic""}"
How many records did the best-selling album of all time sell?,"{""answerText"": ""48900000"", ""category"": ""music"", ""complexityType"": ""superlative""}"
What U.S. president has his bust on Mountain Rushmore while also being the principle author of the Declaration of Independence?,"{""answerText"": ""Thomas Jefferson"", ""category"": ""history"", ""complexityType"": ""intersection""}"
Which gaming console had the highest MSRP at its launch?,"{""answerText"": ""3DO"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Did Lamar Jackson win a Heisman Trophy?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
Which book in the Song of Ice and Fire series was released in 2000?,"{""answerText"": ""A Storm of Swords"", ""category"": ""books"", ""complexityType"": ""intersection""}"
What game has the most negative ratings on Steam?,"{""answerText"": ""Garry's Mod"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Which of the Roosevelt presidents did not die while in office?,"{""answerText"": ""Theodore Roosevelt"", ""category"": ""politics"", ""complexityType"": ""difference""}"
What is the name of the third book in His Dark Materials book series?,"{""answerText"": ""The Amber Spyglass"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which U.S. state does not share a border with more than one other state?,"{""answerText"": ""Maine"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Did George Washington die of a throat infection?,"{""answerText"": ""Yes"", ""category"": ""history"", ""complexityType"": ""yesno""}"
What was the first all professional baseball team?,"{""answerText"": ""Cincinnati Red Stockings"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Has Kevin Harvick won a Nascar Cup Series Championship?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
What Grammy Award was Ariana Grande nominated for but did not win?,"{""answerText"": ""RECORD OF THE YEAR"", ""category"": ""music"", ""complexityType"": ""difference""}"
Who was the 26th president of the United States?,"{""answerText"": ""Theodore Roosevelt"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Are there at least 5 volcanos in Hawaii?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Which of the Fallout series games that were not free to play made the most sales?,"{""answerText"": ""Fallout 4"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Which of the first three episodes of the second Nancy Drew series was not directed by Jon Cassar?,"{""answerText"": ""\""Welcome to the Callisto\"""", ""category"": ""books"", ""complexityType"": ""difference""}"
Where does The Legend of Zelda: The Ocarina of Time take place?,"{""answerText"": ""Hyrule"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Which country in Africa has the largest population and changed its capital from Lagos to Abuja?,"{""answerText"": ""Nigeria"", ""category"": ""geography"", ""complexityType"": ""intersection""}"
What region is an archipelago and is also an American state?,"{""answerText"": ""Hawaii"", ""category"": ""geography"", ""complexityType"": ""intersection""}"
Has Metallica ever won a Grammy?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
Which baseball team plays in the American League East and plays home games at Fenway Park?,"{""answerText"": ""Boston Red Sox"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Which game from the Mortal Kombat series was missing the cyber Lin Kuei playable characters of Cyrax and Sektor?,"{""answerText"": ""Mortal Kombat 11"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What is Lyra Silvertongue's daemon's name?,"{""answerText"": ""Pantalaimon"", ""category"": ""books"", ""complexityType"": ""generic""}"
How many different teams has Kawhi Leonard played for?,"{""answerText"": ""3"", ""category"": ""sports"", ""complexityType"": ""count""}"
Who won the first Stanley Cup?,"{""answerText"": ""Montreal Hockey Club"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
"Which game has more playable characters, Warriors Orochi 4 or Mortal Kombat?","{""answerText"": ""Warriors Orochi 4"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Who is the main character in Grand Theft Auto 4?,"{""answerText"": ""Niko Bellic"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What is the second N64 title in the series that features a protagonist named Link?,"{""answerText"": ""Majora's Mask"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
Where does Zelda live?,"{""answerText"": ""In Hyrule."", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Who is the second team that LeBron James played with?,"{""answerText"": ""Miami Heat"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
Which Gentleman Bastard books have not been released yet?,"{""answerText"": ""The Thorn of Emberlain, The Ministry of Necessity, The Mage and the Master Spy, Inherit the Night"", ""category"": ""books"", ""complexityType"": ""difference""}"
What game has sold the most copies?,"{""answerText"": ""Minecraft"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Which desert is located in the African continent and is the third-largest desert in the world?,"{""answerText"": ""Sahara"", ""category"": ""geography"", ""complexityType"": ""intersection""}"
"Which American Civil War battle occurred later, Battle of Gettysburg or Battle of Nashville?","{""answerText"": ""Battle of Nashville"", ""category"": ""history"", ""complexityType"": ""comparative""}"
Which game is in the Final Fantasy series and features Kefka as the main villain?,"{""answerText"": ""Final Fantasy VI"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What are the three items that can be used to cook meat in Minecraft?,"{""answerText"": ""Furnace, smoker and campfire."", ""category"": ""videogames"", ""complexityType"": ""generic""}"
How many studio albums did Sublime release?,"{""answerText"": ""3"", ""category"": ""music"", ""complexityType"": ""count""}"
What is Garth Brooks' first album?,"{""answerText"": ""Hungry Years"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Which NBA Live game was released as a demo on consoles but then cancelled a few months later before it came out?,"{""answerText"": ""NBA Live '20"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
How many different teams has Stephen Curry played for?,"{""answerText"": ""1"", ""category"": ""sports"", ""complexityType"": ""count""}"
What MLB team plays at Tropicana Field?,"{""answerText"": ""Tampa Bay Rays"", ""category"": ""sports"", ""complexityType"": ""generic""}"
What is the second book in A Song of Ice and Fire?,"{""answerText"": ""A Clash of Kings"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
How many Grammy's did Ella Fitzgerald win?,"{""answerText"": ""13"", ""category"": ""music"", ""complexityType"": ""generic""}"
Where was the author of The Illiad and The Odyssey born?,"{""answerText"": ""Ionia, which is now Turkey"", ""category"": ""books"", ""complexityType"": ""multihop""}"
Which building in the Harry Potter series was located in Diagon Alley and was the storage place of a Horcrux?,"{""answerText"": ""Gringotts Bank"", ""category"": ""books"", ""complexityType"": ""intersection""}"
"Which country gained independence first, Mexico or Ecuador?","{""answerText"": ""Ecuador"", ""category"": ""history"", ""complexityType"": ""comparative""}"
How many Super Bowls has Sonny Jurgensen won?,"{""answerText"": ""0"", ""category"": ""sports"", ""complexityType"": ""count""}"
Who served the most terms in office as the president of the United States?,"{""answerText"": ""Franklin Delano Roosevelt"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Which oceans do not border the state of Florida?,"{""answerText"": ""Pacific, Indian, Arctic, and the Antarctic"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Has Tom Cruise won an Academy Award?,"{""answerText"": ""No"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
What is the oldest game featuring Mario?,"{""answerText"": ""Donkey Kong"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
What is the state capital of Florida?,"{""answerText"": ""Tallahassee"", ""category"": ""geography"", ""complexityType"": ""generic""}"
How many children does the actor that played Captain Jack Sparrow have?,"{""answerText"": ""2"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
Who was the second child of the second U.S. president?,"{""answerText"": ""John Quincy Adams"", ""category"": ""history"", ""complexityType"": ""multihop""}"
"What is the name of the first Kanye West album that was released, but was not a part of a school theme?","{""answerText"": ""808s & Heartbreak."", ""category"": ""music"", ""complexityType"": ""difference""}"
Who was famed author Mary Shelley's husband?,"{""answerText"": ""Percy Bysshe Shelley"", ""category"": ""history"", ""complexityType"": ""generic""}"
When was the first Fifty Shades of Grey book released?,"{""answerText"": ""17-Apr-12"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
When was the second game in the original Devil May Cry series released?,"{""answerText"": ""25-Jan-03"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
How many Oscar awards has Leonardo DiCaprio won?,"{""answerText"": ""1"", ""category"": ""movies"", ""complexityType"": ""count""}"
"Which country has more land, Brazil or Mexico?","{""answerText"": ""Brazil"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Who is the all-time stolen base leader?,"{""answerText"": ""Rickey Henderson"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Which musician has won the most Grammy Awards of all time?,"{""answerText"": ""Georg Solti"", ""category"": ""music"", ""complexityType"": ""generic""}"
"Which NFL player currently plays for the Tampa Bay Buccaneers and was born in San Mateo, California?","{""answerText"": ""Tom Brady"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
What Mario game does Luigi not appear in?,"{""answerText"": ""Super Mario World 2: Yoshi's Island"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Has any Major League Baseball team ever won 130 games in a regular season?,"{""answerText"": ""No"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
Who is the first open lesbian elected to Congress and a current senator of Wisconsin?,"{""answerText"": ""Tammy Baldwin"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Did the United States get the most medals in the Tokyo 2020 Olympics?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
Are there four Truly Devious books?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Which MLB teams have not won a World Series?,"{""answerText"": ""Colorado Rockies, Milwaukee Brewers, San Diego Padres, Seattle Mariners, Tampa Bay Rays, Texas Rangers."", ""category"": ""sports"", ""complexityType"": ""difference""}"
Who is the main character in Metal Gear games?,"{""answerText"": ""Solid Snake"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What Dishonored game does not feature a playable female character?,"{""answerText"": ""Dishonored One"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Which California governors since 2012 have not been Republican?,"{""answerText"": ""Governor Jerry Brown and Governor Gavin Newsom"", ""category"": ""politics"", ""complexityType"": ""difference""}"
Who played Han Solo in the early Star Wars movies?,"{""answerText"": ""Harrison Ford"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Who has won four times NBA MVP and is playing for Lakers right now?,"{""answerText"": ""LeBron James"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
How many children did Cersei and her brother have in the Game of Thrones series?,"{""answerText"": ""3"", ""category"": ""books"", ""complexityType"": ""count""}"
What was the name of the largest empire in pre-Columbian history?,"{""answerText"": ""The Inca Empire"", ""category"": ""history"", ""complexityType"": ""generic""}"
What band has made the most money from touring?,"{""answerText"": ""Metallica"", ""category"": ""music"", ""complexityType"": ""superlative""}"
What's the shortest theatrically released movie?,"{""answerText"": ""The Kid (1921)"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
How many different teams did Shaquille O'Neal play for?,"{""answerText"": ""6"", ""category"": ""sports"", ""complexityType"": ""count""}"
"Does the Philippines consist of more than 7,000 islands?","{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Which Super Bowl did Kurt Warner play in and not win?,"{""answerText"": ""Superbowl XXXVI"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Was William Taft re-elected in 1912?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
"Which basketball player supported a school named ""I promise school"" and played for a team whose home is at the Staples Center?","{""answerText"": ""Lebron James"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Which instrument did Duke Ellington play?,"{""answerText"": ""piano"", ""category"": ""music"", ""complexityType"": ""generic""}"
Which was Vice President Kamala Harris not successful at during the 2020 Presidential campaign?,"{""answerText"": ""Winning presidential primaries in her bid for the presidency."", ""category"": ""politics"", ""complexityType"": ""difference""}"
What is the second book in The Hunger Games series?,"{""answerText"": ""Catching Fire"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
What United States president never touched a light switch in the White House?,"{""answerText"": ""Benjamin Harrison"", ""category"": ""history"", ""complexityType"": ""difference""}"
Who is the youngest person to win an Academy Award?,"{""answerText"": ""Tatum O'Neal"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
How many Dodgers pitchers won 20 games this season (2021)?,"{""answerText"": ""1"", ""category"": ""sports"", ""complexityType"": ""count""}"
"Which country is more mountainous, Bhutan or Cuba?","{""answerText"": ""Bhutan"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Tom Cruise is an outspoken member of which religion?,"{""answerText"": ""Scientology"", ""category"": ""movies"", ""complexityType"": ""generic""}"
What are the first names of the Hardy Boys?,"{""answerText"": ""Frank and Joe"", ""category"": ""books"", ""complexityType"": ""generic""}"
How many times has Tom Cruise been married?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Have Ryan Reynolds and Sandra Bullock ever starred in a movie together?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
What year was George W Bush elected for his first term?,"{""answerText"": ""2000"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Which Hercule Poirot by Agatha Christie was published in 1932?,"{""answerText"": ""Peril at End House"", ""category"": ""books"", ""complexityType"": ""intersection""}"
What is the lowest point in North America?,"{""answerText"": ""Badwater Basin, California, United States"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
What game is in the Mass Effect series and has Samantha Traynor as a romanceable option?,"{""answerText"": ""Mass Effect 3"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Which golfer is the youngest Masters winner?,"{""answerText"": ""Tiger Woods"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Which contiguous state that borders the Pacific Ocean does not have a northern state on its border?,"{""answerText"": ""Washington"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Which country did not sign the Treaty of Versailles?,"{""answerText"": ""China"", ""category"": ""history"", ""complexityType"": ""difference""}"
What political party did the first U.S. president belong to?,"{""answerText"": ""Unaffiliated"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
Who ran for president in 2004 and had running mate John Edwards?,"{""answerText"": ""John Kerry"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Which country got independence first in Africa?,"{""answerText"": ""Liberia"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
Who is the oldest president elected?,"{""answerText"": ""Joe Biden"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
What was the first Final Fantasy game in the main series that was not on the NES?,"{""answerText"": ""Final Fantasy IV"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
What city is nicknamed the Lilac City?,"{""answerText"": ""Spokane"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Which original NES game sold the most?,"{""answerText"": ""Super Mario"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Who was the first African-American U.S. president?,"{""answerText"": ""Barack Obama"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
Radiohead's lead vocalist also does guitarm piano and keyboards what is his name?,"{""answerText"": ""Thom Yorke"", ""category"": ""music"", ""complexityType"": ""generic""}"
Which Biggie album has the most discs?,"{""answerText"": ""Life After Death"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Which boxer has the most wins?,"{""answerText"": ""Len Wickwar"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
"Who is the oldest Pevensie sibling in The Lion, the Witch and the Wardrobe?","{""answerText"": ""Peter"", ""category"": ""books"", ""complexityType"": ""superlative""}"
How many live action Star Wars movies feature Mustafar?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""count""}"
Which album is the shortest music album in history?,"{""answerText"": ""The World's Shortest Album by Earache Records"", ""category"": ""music"", ""complexityType"": ""superlative""}"
The Triple Crown award is given to a horse that wins how many races?,"{""answerText"": ""3"", ""category"": ""sports"", ""complexityType"": ""count""}"
Did CUTIEMARKS come out before QUEEN OF MISFITS?,"{""answerText"": ""No"", ""category"": ""music"", ""complexityType"": ""yesno""}"
Which movie school did the director of Star Wars: A New Hope attend?,"{""answerText"": ""University of Southern California Film School"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
What is the eighth highest mountain in the world?,"{""answerText"": ""Manaslu"", ""category"": ""geography"", ""complexityType"": ""ordinal""}"
Who did not win the Democratic Party primary election in 2020?,"{""answerText"": ""Sen. Bernie Sanders"", ""category"": ""politics"", ""complexityType"": ""difference""}"
Who was the fifth person to play James Bond?,"{""answerText"": ""Timothy Dalton"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
What American novelist was the guardian of the Triforce of Wisdom named after in The Legend of Zelda?,"{""answerText"": ""Zelda Fitzgerald"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
How tall is the actor that played Captain Jack Sparrow?,"{""answerText"": ""5'10\"""", ""category"": ""movies"", ""complexityType"": ""multihop""}"
Who ran for president in 2020 and graduated from Dartmouth College?,"{""answerText"": ""Howie Hawkins"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Who is the protagonist in the Assassin's Creed game that came out in 2007?,"{""answerText"": ""Desmond Miles"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
"Which ocean is larger, the Pacific or the Atlantic?","{""answerText"": ""Pacific"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Who unsuccessfully ran for president of the United States in 2020 and became the first openly gay Cabinet member?,"{""answerText"": ""Pete Buttigieg"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Who was the quarterback of the team that won Super Bowl 55?,"{""answerText"": ""Tom Brady"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
Which Italian trader traveled to China and met Khublai Khan?,"{""answerText"": ""Marco Polo"", ""category"": ""history"", ""complexityType"": ""generic""}"
What is the third British Rolling Stones' studio album called?,"{""answerText"": ""Out of Our Heads"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Is the author Joe Hill the son of Stephen King?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Who is the first NBA team that Shawn Kemp played for?,"{""answerText"": ""Seattle SuperSonics"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
"Which US president was elected first, Jimmy Carter or George W. Bush?","{""answerText"": ""Jimmy Carter"", ""category"": ""history"", ""complexityType"": ""comparative""}"
What is the tallest bridge in Tennessee?,"{""answerText"": ""The New River Bridge"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
What is the first Sandlot movie called?,"{""answerText"": ""The Sandlot"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
"Which state came first in the Union, Pennsylvania or Delaware?","{""answerText"": ""Delaware"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Who does Heathcliff marry in Wuthering Heights?,"{""answerText"": ""Isabella Linton"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which team joined the NBA Finals for the first time in 1976 but has not ever won a championship?,"{""answerText"": ""Phoenix Suns"", ""category"": ""sports"", ""complexityType"": ""difference""}"
"Who is older, Beyoncé or Rihanna?","{""answerText"": ""Beyonce"", ""category"": ""music"", ""complexityType"": ""comparative""}"
Who is the governor of Kansas?,"{""answerText"": ""Laura Kelly"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Which Bioshock game was not developed by Irrational Games?,"{""answerText"": ""Bioshock 2"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Was Nelson Mandela president of South Africa for five years?,"{""answerText"": ""Yes"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
When is USA Independence Day?,"{""answerText"": ""4th of july"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Which G-Idle members were not born in South Korea?,"{""answerText"": ""Shuhua, Minnie, Yuqi"", ""category"": ""music"", ""complexityType"": ""difference""}"
What is the oldest continuously inhabited city in the world?,"{""answerText"": ""Damascus, Syria"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
What is the largest city in Canada by population?,"{""answerText"": ""Toronto"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
Which song is the longest on Wu-Tang Forever?,"{""answerText"": ""Triumph"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Who was the costume designer for the Matrix movies?,"{""answerText"": ""Kym Barrett"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Who is the defense minister of Colombia?,"{""answerText"": ""Guillermo Botero Nieto"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Where was the 35th president of the US born?,"{""answerText"": ""Brookline, Massachusetts"", ""category"": ""history"", ""complexityType"": ""multihop""}"
What US state was the 26th president of the United States born in?,"{""answerText"": ""New York"", ""category"": ""history"", ""complexityType"": ""multihop""}"
Which character was a trainer and trained Katniss Everdeen in The Hunger Games?,"{""answerText"": ""Haymitch Abernathy"", ""category"": ""books"", ""complexityType"": ""intersection""}"
Who starred in the movie based on Fear and Loathing in Las Vegas?,"{""answerText"": ""Johnny Depp"", ""category"": ""books"", ""complexityType"": ""multihop""}"
How many non-contiguous states did Joe Biden win in the 2020 Presidential Election?,"{""answerText"": ""1"", ""category"": ""politics"", ""complexityType"": ""count""}"
What band was Jim Morrison lead vocalist for?,"{""answerText"": ""The Doors"", ""category"": ""music"", ""complexityType"": ""generic""}"
How many main movies are there in the Matrix series?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""count""}"
Which game in the Resident Evil series made the most sales?,"{""answerText"": ""Resident Evil 7"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Where was the last emperor of the Qing dynasty when he died?,"{""answerText"": ""Beijing, China"", ""category"": ""history"", ""complexityType"": ""multihop""}"
What was the first Spyro game to not be developed by Insomniac Games?,"{""answerText"": ""Spyro: Season of Ice"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
